accession,assembly_stats_contig_l50,assembly_stats_contig_n50,assembly_stats_gc_count,assembly_stats_gc_percent,assembly_stats_genome_coverage,assembly_stats_number_of_component_sequences,assembly_stats_number_of_contigs,assembly_stats_number_of_scaffolds,assembly_stats_scaffold_l50,assembly_stats_scaffold_n50,assembly_stats_total_number_of_chromosomes,assembly_stats_total_sequence_length,assembly_stats_total_ungapped_length,organism_common_name,organism_infraspecific_names_isolate,organism_infraspecific_names_strain,organism_organism_name,organism_tax_id
GCF_018460045.1,1,5032348,2741058,52,1242.47,2,2,2,1,5032348,2,5282580,5282580,,,no75,Salmonella enterica,28901
GCF_019105565.1,1,4719088,2518009,52,100,4,4,4,1,4719088,4,4824401,4824401,,,PNUSAS210186,Salmonella enterica,28901
GCF_019339425.1,1,5081513,2632281,52,612,1,1,1,1,5081513,1,5081513,5081513,,,LHICA_E3,Salmonella enterica,28901
GCF_019428465.1,1,4680320,2513082,52,154,4,4,4,1,4680320,4,4829815,4829815,,,SLR1_8245,Salmonella enterica,28901
GCF_019469485.1,1,4928262,2566976,52,130,1,1,1,1,4928262,1,4928262,4928262,,,SCSW714,Salmonella enterica,28901
GCF_019710375.1,1,4972233,2596539,52,300,2,2,2,1,4972233,2,4976071,4976071,,,sg1722-1,Salmonella enterica,28901
GCF_019710395.2,1,4934155,2619402,52,300,2,2,2,1,4934155,2,5019039,5019039,,,sg1722-2,Salmonella enterica,28901
GCF_019969195.1,1,4834280,2533155,52,200,2,2,2,1,4834280,2,4867588,4867588,,,S146,Salmonella enterica,28901
GCF_019969235.1,1,4996978,2652624,52,200,2,2,2,1,4996978,2,5091026,5091026,,,SP,Salmonella enterica,28901
GCF_019969255.1,1,4690166,2558333,52,200,2,2,2,1,4690166,2,4928267,4928267,,,S90,Salmonella enterica,28901
GCF_020736305.1,1,4689704,2616121,52,153,3,3,3,1,4689704,3,5023097,5023097,,,SZL 31,Salmonella enterica,28901
GCF_020736325.1,1,4689375,2612860,52,267,3,3,3,1,4689375,3,5016201,5016201,,,SZL 30,Salmonella enterica,28901
GCF_020736345.1,1,5052615,2672990,52,206,2,2,2,1,5052615,2,5131948,5131948,,,SZL 38,Salmonella enterica,28901
GCF_021183525.1,1,4746494,2627155,52,100,2,2,2,1,4746494,2,5054985,5054985,,,S639,Salmonella enterica,28901
GCF_021183545.1,1,4972723,2717332,52,100,2,2,2,1,4972723,2,5238821,5238821,,,S15,Salmonella enterica,28901
GCF_021474245.1,1,5019931,2736730,52,100,2,2,2,1,5019931,2,5270631,5270631,,,2017028-SE,Salmonella enterica,28901
GCF_021474265.1,1,4976978,2755249,52,100,4,4,4,1,4976978,4,5315182,5315182,,,2008079-SE,Salmonella enterica,28901
GCF_021474285.1,1,5019610,2755554,52,100,2,2,2,1,5019610,2,5311968,5311968,,,2017005-SE,Salmonella enterica,28901
GCF_021474305.1,1,4955735,2712281,52,100,4,4,4,1,4955735,4,5220260,5220260,,,2016089-SE,Salmonella enterica,28901
GCF_021474325.1,1,4982119,2713180,52,100,2,2,2,1,4982119,2,5224182,5224182,,,2016062-SE,Salmonella enterica,28901
GCF_021474345.1,1,4963388,2656593,52,100,4,4,4,1,4963388,4,5113953,5113953,,,2010112-SE,Salmonella enterica,28901
GCF_022226915.1,1,4714072,2488767,52,88,2,2,2,1,4714072,2,4776458,4776458,,,P281972,Salmonella enterica,28901
GCF_022533545.1,1,5066993,2768095,52,56,2,2,2,1,5066993,2,5313749,5313749,,,P164045,Salmonella enterica,28901
GCF_022559345.1,1,4683638,2566137,52,100,3,3,3,1,4683638,3,4936085,4936085,,,1505,Salmonella enterica,28901
GCF_022559365.1,1,4695756,2576872,52,100,3,3,3,1,4695756,3,4952034,4952034,,,852,Salmonella enterica,28901
GCF_022559385.1,1,4651619,2555187,52,100,4,4,4,1,4651619,4,4914331,4914331,,,805,Salmonella enterica,28901
GCF_022559405.1,1,4415683,2425209,52,100,2,2,2,1,4415683,2,4662207,4662207,,,770,Salmonella enterica,28901
GCF_022559425.1,1,4683338,2569296,52,100,3,3,3,1,4683338,3,4941369,4941369,,,733,Salmonella enterica,28901
GCF_022559445.1,1,4727987,2591956,52,100,3,3,3,1,4727987,3,4983946,4983946,,,724,Salmonella enterica,28901
GCF_022559465.1,1,4715179,2583261,52,100,3,3,3,1,4715179,3,4970901,4970901,,,467,Salmonella enterica,28901
GCF_022559485.1,1,4682442,2548277,52,100,2,2,2,1,4682442,2,4903141,4903141,,,453,Salmonella enterica,28901
GCF_022655645.1,1,4856455,2588343,52,20,4,4,4,1,4856455,4,4957390,4957390,,,P048595,Salmonella enterica,28901
GCF_022655665.1,1,4714721,2462593,52,20,1,1,1,1,4714721,1,4714721,4714721,,,P287611,Salmonella enterica,28901
GCF_022655685.1,1,4713600,2461923,52,20,1,1,1,1,4713600,1,4713600,4713600,,,P289597,Salmonella enterica,28901
GCF_022655705.1,1,4704408,2482322,52,20,2,2,2,1,4704408,2,4763016,4763016,,,P201982,Salmonella enterica,28901
GCF_022870605.1,1,4826040,2655825,52,599.38,4,4,4,1,4826040,4,5123626,5123626,,,MS114,Salmonella enterica,28901
GCF_022870685.1,1,5022311,2719079,52,400,4,4,4,1,5022311,4,5238739,5238739,,,1722,Salmonella enterica,28901
GCF_023330705.1,1,4978171,2686800,52,100,3,3,3,1,4978171,3,5170682,5170682,,,1618,Salmonella enterica,28901
GCF_023330725.1,1,5021524,2748214,52,100,3,3,3,1,5021524,3,5297217,5297217,,,1559,Salmonella enterica,28901
GCF_023330745.1,1,4854608,2683238,52,100,4,4,4,1,4854608,4,5161746,5161746,,,628,Salmonella enterica,28901
GCF_023330765.1,1,4974477,2711733,52,100,2,2,2,1,4974477,2,5224450,5224450,,,751,Salmonella enterica,28901
GCF_023330785.1,1,4909510,2666735,52,100,2,2,2,1,4909510,2,5131059,5131059,,,632,Salmonella enterica,28901
GCF_023330805.1,1,5008464,2745962,52,100,2,2,2,1,5008464,2,5296145,5296145,,,418,Salmonella enterica,28901
GCF_023330825.1,1,4988055,2706234,52,100,3,3,3,1,4988055,3,5208710,5208710,,,179,Salmonella enterica,28901
GCF_023330845.1,1,5023327,2796571,52,100,3,3,3,1,5023327,3,5389798,5389798,,,143,Salmonella enterica,28901
GCF_023330865.1,1,4973782,2613327,52,100,3,3,3,1,4973782,3,5015033,5015033,,,137,Salmonella enterica,28901
GCF_023330885.1,1,4979324,2711390,52,100,2,2,2,1,4979324,2,5227029,5227029,,,131,Salmonella enterica,28901
GCF_023330905.1,1,4967188,2788195,52,100,6,6,6,1,4967188,6,5382329,5382329,,,2,Salmonella enterica,28901
GCF_023612355.1,1,4785442,2620240,52,10,2,2,2,1,4785442,2,5044971,5044971,,,GSJ/2016-Sal-016,Salmonella enterica,28901
GCF_024364825.1,1,4883448,2571002,52,100,2,2,2,1,4883448,2,4945546,4945546,,,SC2014107,Salmonella enterica,28901
GCF_024364845.1,1,4920434,2656107,52,100,4,4,4,1,4920434,4,5103129,5103129,,,SC2014238,Salmonella enterica,28901
GCF_024364865.1,1,5245093,2722580,52,100,1,1,1,1,5245093,1,5245093,5245093,,,SC2016025,Salmonella enterica,28901
GCF_024364885.1,1,4950959,2597957,52,100,2,2,2,1,4950959,2,4984268,4984268,,,SC2016042,Salmonella enterica,28901
GCF_024364905.1,1,5247576,2723424,52,100,1,1,1,1,5247576,1,5247576,5247576,,,SC2016090,Salmonella enterica,28901
GCF_024364925.1,1,4999651,2670664,52,100,3,3,3,1,4999651,3,5121969,5121969,,,SC2016091,Salmonella enterica,28901
GCF_024364945.1,1,4999786,2688897,52,100,3,3,3,1,4999786,3,5150418,5150418,,,SC2016290,Salmonella enterica,28901
GCF_024364965.1,1,4958087,2713028,52,100,4,4,4,1,4958087,4,5226478,5226478,,,SC2017030,Salmonella enterica,28901
GCF_024364985.1,1,4973602,2692836,52,100,2,2,2,1,4973602,2,5191692,5191692,,,SC2017100,Salmonella enterica,28901
GCF_024365005.1,1,5002315,2730014,52,100,2,2,2,1,5002315,2,5258906,5258906,,,SC2017167,Salmonella enterica,28901
GCF_024365025.1,1,4978290,2712877,52,100,2,2,2,1,4978290,2,5227863,5227863,,,SC2017297,Salmonella enterica,28901
GCF_024917195.1,1,4952513,2631553,52,100,6,6,6,1,4952513,6,5056896,5056896,,,S1905,Salmonella enterica,28901
GCF_025259065.1,1,4685980,2479873,52,179,4,4,4,1,4685980,4,4754570,4754570,,,PNUSAS119065,Salmonella enterica,28901
GCF_025259185.1,1,4685980,2479868,52,64,4,4,4,1,4685980,4,4754570,4754570,,,PNUSAS118606,Salmonella enterica,28901
